elapsed time,receive time,header.stamp,topic,value
0.991161684,1740144011.001349688,1740144011.001171540,/imu/data.angular_velocity.z,0.001065265199613243
0.999015697,1740144011.009203701,1740144011.009148566,/imu/data.angular_velocity.z,0.001065265199613243
1.020997921,1740144011.031185925,1740144011.031122149,/imu/data.angular_velocity.z,0.001065265199613243
1.028944131,1740144011.039132135,1740144011.039075925,/imu/data.angular_velocity.z,0
1.051918842,1740144011.062106846,1740144011.062052696,/imu/data.angular_velocity.z,0
1.059876525,1740144011.070064529,1740144011.070019589,/imu/data.angular_velocity.z,0.001065265199613243
1.081820927,1740144011.092008931,1740144011.091935671,/imu/data.angular_velocity.z,0
1.090811788,1740144011.100999792,1740144011.100939553,/imu/data.angular_velocity.z,0
1.113791686,1740144011.123979690,1740144011.123920964,/imu/data.angular_velocity.z,0.001065265199613243
1.121749348,1740144011.131937352,1740144011.131887423,/imu/data.angular_velocity.z,0
1.143727903,1740144011.153915907,1740144011.153866493,/imu/data.angular_velocity.z,0
1.153696006,1740144011.163884010,1740144011.163835377,/imu/data.angular_velocity.z,0
1.172693789,1740144011.182881793,1740144011.182824190,/imu/data.angular_velocity.z,0
1.181680712,1740144011.191868716,1740144011.191819554,/imu/data.angular_velocity.z,0
1.206654226,1740144011.216842230,1740144011.216775530,/imu/data.angular_velocity.z,0
1.217619349,1740144011.227807353,1740144011.227755490,/imu/data.angular_velocity.z,0
1.248516418,1740144011.258704422,1740144011.258656681,/imu/data.angular_velocity.z,0
1.265544181,1740144011.275732185,1740144011.275680990,/imu/data.angular_velocity.z,0.001065265199613243
1.274522514,1740144011.284710518,1740144011.284668405,/imu/data.angular_velocity.z,0
1.294499143,1740144011.304687147,1740144011.304646431,/imu/data.angular_velocity.z,-0.001065265199613243
1.304495433,1740144011.314683437,1740144011.314643538,/imu/data.angular_velocity.z,0.001065265199613243
1.3265173350000001,1740144011.336705339,1740144011.336655548,/imu/data.angular_velocity.z,0.001065265199613243
1.333507541,1740144011.343695545,1740144011.343646855,/imu/data.angular_velocity.z,0.002130530399226486
1.355401239,1740144011.365589243,1740144011.365533424,/imu/data.angular_velocity.z,0.001065265199613243
1.362413241,1740144011.372601245,1740144011.372548899,/imu/data.angular_velocity.z,0.001065265199613243
1.3853663489999999,1740144011.395554353,1740144011.395499843,/imu/data.angular_velocity.z,0
1.394355111,1740144011.404543115,1740144011.404488015,/imu/data.angular_velocity.z,-0.001065265199613243
1.4193202010000001,1740144011.429508205,1740144011.429456227,/imu/data.angular_velocity.z,-0.001065265199613243
1.427294903,1740144011.437482907,1740144011.437430263,/imu/data.angular_velocity.z,0
1.489187955,1740144011.499375959,1740144011.499322571,/imu/data.angular_velocity.z,0.001065265199613243
1.499180354,1740144011.509368358,1740144011.509318379,/imu/data.angular_velocity.z,0
1.519091574,1740144011.529279578,1740144011.529227685,/imu/data.angular_velocity.z,0
1.528114841,1740144011.538302845,1740144011.538249216,/imu/data.angular_velocity.z,0
1.552037319,1740144011.562225323,1740144011.562183538,/imu/data.angular_velocity.z,0.001065265199613243
1.5600727120000002,1740144011.570260716,1740144011.570205293,/imu/data.angular_velocity.z,0.002130530399226486
1.582056042,1740144011.592244046,1740144011.592191810,/imu/data.angular_velocity.z,0.002130530399226486
1.593945409,1740144011.604133413,1740144011.604086252,/imu/data.angular_velocity.z,0.003195795598839729
1.612008799,1740144011.622196803,1740144011.622133001,/imu/data.angular_velocity.z,0.002130530399226486
1.621007476,1740144011.631195480,1740144011.631145139,/imu/data.angular_velocity.z,0.002130530399226486
1.641939598,1740144011.652127602,1740144011.652084835,/imu/data.angular_velocity.z,0.003195795598839729
1.651908278,1740144011.662096282,1740144011.662053553,/imu/data.angular_velocity.z,0.008522121596905944
1.672924347,1740144011.683112351,1740144011.683048813,/imu/data.angular_velocity.z,0.006391591197679458
1.6828691550000001,1740144011.693057159,1740144011.692979867,/imu/data.angular_velocity.z,-0.001065265199613243
1.7017975170000001,1740144011.711985521,1740144011.711933051,/imu/data.angular_velocity.z,-0.013848447594972158
1.711803194,1740144011.721991198,1740144011.721934001,/imu/data.angular_velocity.z,-0.009587386796519187
1.7337550940000002,1740144011.743943098,1740144011.743896023,/imu/data.angular_velocity.z,0.003195795598839729
1.7447536270000001,1740144011.754941631,1740144011.754864480,/imu/data.angular_velocity.z,0.008522121596905944
1.761749135,1740144011.771937139,1740144011.771880566,/imu/data.angular_velocity.z,0.015978977994198645
1.771729361,1740144011.781917365,1740144011.781870021,/imu/data.angular_velocity.z,0.013848447594972158
1.793676241,1740144011.803864245,1740144011.803803660,/imu/data.angular_velocity.z,0.019174773593038374
1.802677671,1740144011.812865675,1740144011.812818311,/imu/data.angular_velocity.z,0.017044243193811887
1.8236130799999999,1740144011.833801084,1740144011.833744827,/imu/data.angular_velocity.z,0.002130530399226486
1.834614949,1740144011.844802953,1740144011.844758347,/imu/data.angular_velocity.z,0.006391591197679458
1.8565307780000002,1740144011.866718782,1740144011.866669692,/imu/data.angular_velocity.z,0.002130530399226486
1.86653775,1740144011.876725754,1740144011.876676683,/imu/data.angular_velocity.z,0.007456856397292701
1.88561518,1740144011.895803184,1740144011.895701378,/imu/data.angular_velocity.z,0.025566364790717833
1.89361339,1740144011.903801394,1740144011.903694695,/imu/data.angular_velocity.z,0.028762160389557558
1.916542426,1740144011.926730430,1740144011.926665585,/imu/data.angular_velocity.z,-0.011717917195745673
1.9254247530000002,1740144011.935612757,1740144011.935567598,/imu/data.angular_velocity.z,-0.010652651996132429
1.9484091860000001,1740144011.958597190,1740144011.958551743,/imu/data.angular_velocity.z,0.009587386796519187
1.958386247,1740144011.968574251,1740144011.968516667,/imu/data.angular_velocity.z,-0.003195795598839729
1.97832432,1740144011.988512324,1740144011.988457560,/imu/data.angular_velocity.z,0.010652651996132429
1.9883188770000002,1740144011.998506881,1740144011.998450507,/imu/data.angular_velocity.z,0.022370569191878104
2.007322282,1740144012.017510286,1740144012.017456074,/imu/data.angular_velocity.z,-0.013848447594972158
2.017282333,1740144012.027470337,1740144012.027419083,/imu/data.angular_velocity.z,-0.007456856397292701
2.037175556,1740144012.047363560,1740144012.047314333,/imu/data.angular_velocity.z,0.007456856397292701
2.045222014,1740144012.055410018,1740144012.055358719,/imu/data.angular_velocity.z,0.0053263259980662146
2.070139958,1740144012.080327962,1740144012.080275079,/imu/data.angular_velocity.z,0.023435834391491345
2.079214128,1740144012.089402132,1740144012.089350289,/imu/data.angular_velocity.z,0.027696895189944316
2.101137327,1740144012.111325331,1740144012.111265670,/imu/data.angular_velocity.z,0.013848447594972158
2.11205406,1740144012.122242064,1740144012.122189118,/imu/data.angular_velocity.z,-0.003195795598839729
2.129019421,1740144012.139207425,1740144012.139157916,/imu/data.angular_velocity.z,-0.007456856397292701
2.138987408,1740144012.149175412,1740144012.149142269,/imu/data.angular_velocity.z,-0.008522121596905944
2.181904125,1740144012.192092129,1740144012.192049402,/imu/data.angular_velocity.z,0.007456856397292701
2.191901052,1740144012.202089056,1740144012.202054459,/imu/data.angular_velocity.z,0.002130530399226486
2.212882198,1740144012.223070202,1740144012.223039912,/imu/data.angular_velocity.z,-0.013848447594972158
2.220888263,1740144012.231076267,1740144012.231016898,/imu/data.angular_velocity.z,-0.008522121596905944
2.241879548,1740144012.252067552,1740144012.252013225,/imu/data.angular_velocity.z,-0.015978977994198645
2.249792176,1740144012.259980180,1740144012.259945800,/imu/data.angular_velocity.z,-0.0053263259980662146
2.286762068,1740144012.296950072,1740144012.296893974,/imu/data.angular_velocity.z,0.03195795598839729
2.324679445,1740144012.334867449,1740144012.334812893,/imu/data.angular_velocity.z,-0.014913712794585402
2.332698869,1740144012.342886873,1740144012.342834361,/imu/data.angular_velocity.z,-0.025566364790717833
