timestamp,distance
1015, 32.28 cm
1119, 32.28 cm
1223, 32.28 cm
1327, 32.28 cm
1431, 32.28 cm
1535, 32.28 cm
1639, 32.28 cm
1743, 32.27 cm
1847, 32.25 cm
1951, 32.27 cm
2055, 32.25 cm
2159, 32.27 cm
2263, 32.27 cm
2367, 32.27 cm
2471, 32.27 cm
2575, 32.27 cm
2679, 32.27 cm
2783, 32.27 cm
2887, 32.27 cm
2991, 32.27 cm
3095, 32.27 cm
3199, 32.27 cm
3303, 32.27 cm
3407, 32.27 cm
3511, 32.27 cm
3615, 32.27 cm
3719, 32.27 cm
3823, 32.27 cm
3927, 32.27 cm
4031, 32.27 cm
4135, 32.27 cm
4239, 32.27 cm
4343, 32.27 cm
4447, 32.27 cm
4551, 32.27 cm
4655, 32.27 cm
4759, 32.27 cm
4863, 32.27 cm
4967, 32.27 cm
5071, 32.27 cm
5175, 32.27 cm
5279, 32.27 cm
5383, 32.27 cm
5487, 32.27 cm
5591, 32.27 cm
5695, 32.27 cm
5799, 32.28 cm
5903, 32.27 cm
6007, 32.27 cm
6111, 32.27 cm
6215, 32.27 cm
6319, 32.27 cm
6423, 32.27 cm
6527, 32.27 cm
6631, 32.27 cm
6735, 32.27 cm
6839, 32.27 cm
6943, 32.27 cm
7047, 32.27 cm
7151, 31.48 cm
7255, 32.28 cm
7359, 31.48 cm
7463, 31.48 cm
7567, 31.48 cm
7671, 31.47 cm
7775, 31.48 cm
7879, 31.48 cm
7983, 31.48 cm
8087, 32.27 cm
8191, 32.27 cm
8295, 32.27 cm
8399, 32.27 cm
8503, 32.27 cm
8607, 32.27 cm
8711, 32.78 cm
8815, 32.27 cm
8919, 32.27 cm
9023, 32.27 cm
9127, 32.27 cm
9231, 32.27 cm
9335, 32.27 cm
9439, 31.48 cm
9543, 31.48 cm
9647, 31.47 cm
9751, 31.48 cm
9855, 31.48 cm
9959, 31.48 cm
10063, 31.48 cm
10167, 31.48 cm
10271, 31.48 cm
10375, 31.99 cm
10479, 31.99 cm
10583, 31.48 cm
10687, 31.48 cm
10791, 31.47 cm
10895, 31.48 cm
10999, 31.48 cm
11103, 31.48 cm
11207, 31.48 cm
11311, 31.48 cm
11415, 31.48 cm
11519, 31.48 cm
11623, 31.48 cm
11727, 31.48 cm
11831, 31.48 cm
11935, 31.50 cm
12039, 31.48 cm
12143, 31.48 cm
12247, 31.48 cm
12351, 31.48 cm
12455, 31.48 cm
12559, 31.48 cm
12663, 31.48 cm
12767, 31.48 cm
12871, 31.48 cm
12975, 31.48 cm
13079, 31.48 cm
13183, 31.48 cm
13287, 31.48 cm
13391, 31.48 cm
13495, 31.48 cm
13599, 31.48 cm
13703, 31.48 cm
13807, 31.48 cm
13911, 31.48 cm
14015, 31.48 cm
14119, 31.48 cm
14223, 32.27 cm
14327, 31.48 cm
14431, 32.27 cm
14535, 31.48 cm
14639, 32.27 cm
14743, 32.27 cm
14847, 31.48 cm
14951, 31.48 cm
15055, 32.27 cm
15159, 32.27 cm
15263, 32.27 cm
15367, 31.48 cm
15471, 31.48 cm
15575, 31.48 cm
15679, 31.47 cm
15783, 32.78 cm
15887, 32.79 cm
15991, 32.79 cm
16095, 32.79 cm
16199, 32.78 cm
16303, 32.78 cm
16407, 32.78 cm
16511, 32.78 cm
16615, 32.79 cm
16719, 32.78 cm
16823, 32.79 cm
16927, 32.79 cm
17031, 32.79 cm
17135, 32.78 cm
17239, 32.79 cm
17343, 32.79 cm
17447, 32.78 cm
17551, 32.79 cm
17655, 32.79 cm
17759, 32.78 cm
17863, 32.78 cm
17967, 32.78 cm
18071, 32.78 cm
18175, 32.79 cm
18279, 32.78 cm
18383, 31.48 cm
18487, 31.99 cm
18591, 31.48 cm
18695, 32.78 cm
18799, 31.48 cm
18903, 31.48 cm
19007, 31.48 cm
19111, 31.48 cm
19215, 31.48 cm
19319, 31.47 cm
19423, 31.48 cm
19527, 31.48 cm
19631, 31.48 cm
19735, 31.48 cm
19839, 31.48 cm
19943, 31.48 cm
20047, 31.48 cm
20151, 31.48 cm
20255, 31.48 cm
20359, 31.48 cm
20463, 31.47 cm
20567, 31.48 cm
20671, 31.48 cm
20775, 31.48 cm
20879, 31.47 cm
20983, 31.47 cm
21087, 31.48 cm
21191, 31.48 cm
21295, 31.48 cm
21399, 31.48 cm
21503, 31.48 cm
21607, 31.48 cm
21711, 31.48 cm
21815, 32.78 cm
21919, 32.78 cm
22023, 35.65 cm
22127, 35.67 cm
22231, 35.67 cm
22335, 33.58 cm
22440, 37.30 cm
22544, 37.30 cm
22648, 37.30 cm
22752, 37.77 cm
22855, 32.78 cm
22959, 32.78 cm
23063, 32.78 cm
23167, 32.79 cm
23271, 32.79 cm
23375, 32.79 cm
23479, 32.79 cm
23583, 32.79 cm
23687, 32.78 cm
23791, 32.79 cm
23895, 32.79 cm
23999, 31.48 cm
24103, 31.48 cm
24207, 31.48 cm
24311, 31.47 cm
24415, 31.48 cm
24519, 31.48 cm
24623, 31.48 cm
24727, 31.48 cm
24831, 31.48 cm
24935, 31.48 cm
25039, 31.48 cm
25143, 31.48 cm
25247, 31.48 cm
25351, 31.48 cm
25455, 31.48 cm
25559, 32.27 cm
25663, 31.48 cm
25767, 31.48 cm
25871, 31.48 cm
25975, 31.48 cm
26079, 32.27 cm
26183, 31.47 cm
26287, 32.27 cm
26391, 31.47 cm
26495, 31.47 cm
26599, 31.48 cm
26703, 31.48 cm
26807, 32.27 cm
26911, 31.48 cm
27015, 32.27 cm
