timestamp,distance
712, 32.98 cm
815, 33.00 cm
919, 32.98 cm
1023, 32.98 cm
1127, 32.98 cm
1231, 33.00 cm
1335, 33.00 cm
1439, 33.00 cm
1543, 32.98 cm
1647, 32.98 cm
1751, 32.98 cm
1855, 32.98 cm
1959, 33.00 cm
2063, 33.00 cm
2167, 33.00 cm
2271, 33.00 cm
2375, 32.98 cm
2479, 32.98 cm
2583, 32.98 cm
2687, 33.00 cm
2791, 32.98 cm
2895, 32.98 cm
2999, 32.98 cm
3103, 32.98 cm
3207, 33.00 cm
3311, 32.98 cm
3415, 32.98 cm
3519, 33.00 cm
3623, 32.98 cm
3727, 33.00 cm
3831, 32.98 cm
3935, 32.98 cm
4039, 33.00 cm
4143, 32.98 cm
4247, 32.98 cm
4351, 33.00 cm
4455, 32.47 cm
4559, 32.47 cm
4663, 32.47 cm
4767, 32.45 cm
4871, 32.45 cm
4975, 32.45 cm
5079, 32.45 cm
5183, 32.45 cm
5287, 32.47 cm
5391, 32.47 cm
5495, 32.45 cm
5599, 32.47 cm
5703, 32.47 cm
5807, 32.45 cm
5911, 32.45 cm
6015, 32.45 cm
6119, 32.45 cm
6223, 32.47 cm
6327, 32.45 cm
6431, 32.45 cm
6535, 32.45 cm
6639, 32.47 cm
6743, 32.47 cm
6847, 32.47 cm
6951, 32.45 cm
7055, 32.45 cm
7159, 32.45 cm
7263, 32.45 cm
7367, 32.45 cm
7471, 32.45 cm
7575, 32.47 cm
7679, 32.47 cm
7783, 32.45 cm
7887, 32.47 cm
7991, 32.47 cm
8095, 32.45 cm
8199, 32.47 cm
8303, 32.47 cm
8407, 32.45 cm
8511, 32.45 cm
8615, 32.45 cm
8719, 32.47 cm
8823, 32.45 cm
8927, 32.45 cm
9031, 32.45 cm
9135, 32.47 cm
9239, 32.45 cm
9343, 31.65 cm
9447, 32.45 cm
9551, 32.47 cm
9655, 32.45 cm
9759, 32.45 cm
9863, 32.47 cm
9967, 32.47 cm
10071, 32.45 cm
10175, 32.45 cm
10279, 32.45 cm
10383, 32.45 cm
10487, 32.47 cm
10591, 32.45 cm
10695, 32.47 cm
10799, 32.45 cm
10903, 32.47 cm
11007, 32.45 cm
11111, 32.45 cm
11215, 32.47 cm
11319, 32.47 cm
11423, 32.47 cm
11527, 32.47 cm
11631, 32.47 cm
11735, 32.47 cm
11839, 32.45 cm
11943, 31.67 cm
12047, 32.45 cm
12151, 32.45 cm
12255, 32.47 cm
12359, 32.47 cm
12463, 32.45 cm
12567, 32.47 cm
12671, 32.45 cm
12775, 32.45 cm
12879, 32.47 cm
12983, 32.45 cm
13087, 32.45 cm
13191, 32.45 cm
13295, 32.45 cm
13399, 32.45 cm
13503, 32.47 cm
13607, 32.47 cm
13711, 32.47 cm
13815, 32.45 cm
13919, 32.47 cm
14023, 32.45 cm
14127, 32.45 cm
14231, 32.45 cm
14335, 32.47 cm
14439, 32.45 cm
14543, 32.45 cm
14647, 32.45 cm
14751, 32.45 cm
14855, 32.45 cm
14959, 32.45 cm
15063, 32.45 cm
15167, 32.47 cm
15271, 32.47 cm
15375, 32.47 cm
15479, 32.45 cm
15583, 32.45 cm
15687, 32.45 cm
15791, 32.47 cm
15895, 32.47 cm
15999, 32.47 cm
16103, 32.47 cm
16207, 32.47 cm
16311, 32.45 cm
16415, 32.45 cm
16519, 32.47 cm
16623, 32.47 cm
16727, 32.45 cm
16831, 32.47 cm
16935, 32.47 cm
17039, 32.45 cm
17143, 32.45 cm
17247, 32.47 cm
17351, 32.47 cm
17455, 32.45 cm
17559, 32.45 cm
17663, 32.45 cm
17767, 32.45 cm
17871, 32.47 cm
17975, 32.47 cm
18079, 32.47 cm
18183, 32.45 cm
18287, 32.45 cm
18391, 32.45 cm
18495, 32.45 cm
18599, 32.47 cm
18703, 32.45 cm
18807, 32.45 cm
18911, 32.45 cm
19015, 32.45 cm
19119, 32.47 cm
19223, 32.47 cm
19327, 32.47 cm
19431, 32.45 cm
19535, 32.45 cm
19639, 32.47 cm
19743, 32.47 cm
19847, 32.47 cm
19951, 32.47 cm
20055, 32.45 cm
20159, 32.45 cm
20263, 32.47 cm
20367, 32.45 cm
20471, 32.45 cm
20575, 32.45 cm
20679, 32.45 cm
20783, 32.47 cm
20887, 32.47 cm
20991, 32.45 cm
21095, 32.47 cm
21199, 32.45 cm
21303, 32.45 cm
21407, 32.47 cm
21511, 32.45 cm
21615, 32.47 cm
21719, 32.47 cm
21823, 32.45 cm
21927, 32.47 cm
22031, 32.47 cm
22135, 32.45 cm
22239, 32.45 cm
22343, 32.47 cm
22447, 32.47 cm
22551, 32.45 cm
22655, 32.45 cm
22759, 32.47 cm
22863, 32.47 cm
22967, 32.45 cm
23071, 32.45 cm
23175, 32.45 cm
23279, 32.45 cm
23383, 32.45 cm
23487, 32.47 cm
23591, 32.45 cm
23695, 32.45 cm
23799, 32.45 cm
23903, 32.45 cm
24007, 32.47 cm
24111, 32.45 cm
24215, 32.47 cm
24319, 32.47 cm
24423, 32.45 cm
24527, 32.47 cm
24631, 32.47 cm
24735, 32.47 cm
24839, 32.47 cm
24943, 32.45 cm
25047, 32.45 cm
25151, 32.45 cm
25255, 32.45 cm
25359, 32.45 cm
25463, 32.45 cm
25567, 32.47 cm
25671, 32.45 cm
25775, 32.47 cm
25879, 32.47 cm
25983, 32.47 cm
26087, 32.45 cm
26191, 32.45 cm
26295, 32.47 cm
26399, 32.47 cm
26503, 32.47 cm
26607, 32.45 cm
26711, 32.45 cm
26815, 32.47 cm
26919, 32.45 cm
27023, 32.45 cm
27127, 32.47 cm
27231, 32.45 cm
27335, 32.47 cm
27439, 32.47 cm
27543, 32.45 cm
27647, 32.45 cm
27751, 32.45 cm
27855, 32.47 cm
27959, 32.47 cm
28063, 32.45 cm
28167, 32.45 cm
28271, 32.45 cm
28375, 32.47 cm
